 4000207Koivukylän asema                        Björkby station                         6690740255875360.3236225.06013
 4000208Rekolan asema                           Räckhals station                        6691761255919660.3327225.06844
 4000209Korson asema                            Korso station                           6693835255971460.3512525.07843
 4000210Vehkalan asema                          Veckal station                          6687422254683560.2953924.84369
 4000211Kivistön asema                          Kivistö station                         6689532254695960.3143124.84642
 4000212Aviapoliksen asema                      Aviapolis station                       6688440255301060.3037724.95560
 4000213Lentoaseman asema                       Flygplatsen station                     6689789255371260.3157824.96866
 4000214Leinelän asema                          Lejle station                           6690607255759160.3225925.03906
 6000001Kirkkonummi                             Kyrkslätt                               6667635252469060.1197424.44088
 6000201Luoman asema                            Bobäck station                          6673580253072460.1726924.55030
 6000202Masalan asema                           Masaby station                          6672010253012060.1586424.53919
 6000203Jorvaksen asema                         Jorvas station                          6669643252862960.1375024.51201
 6000204Tolsan asema                            Tolls station                           6667426252632160.1177624.47019
 6000205Kirkkonummen asema                      Kyrkslätts station                      6667619252458660.1196024.43901
 6300299Siuntion asema                          Sjundeå station                         6669879251236860.1404324.21940
 9000001Kerava                                  Kervo                                   6699786256108460.4044525.10505
 9000201Savion asema                            Savio  station                          6697098256072360.3803825.09769
 9000202Keravan asema                           Kervo station                           6699780256113560.4043925.10597
 9200001Nikkilän linja-autoasema                Nickby busstation                       6697182257021060.3796125.26967
 9500001Järvenpään asema                        Träskända station                       6707454256013260.4734025.09008
 9500297Ainola                                  Ainola                                  6705633256079260.4569625.10152
 9500298Järvenpää                               Träskända                               6707493256016460.4737425.09067
 9500299Saunakallio                             Saunakallio                             6708996255876160.4874425.06562
 9600001Hyrylä                                  Hyrylä                                  6699444255686060.4020025.02833
 9600201Jokela                                  Jokela                                  6716198255345360.5528024.97101
